"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"245","Paradhinera mukti [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Nisikanta Ganguli. Publisher: Calcutta : Saraswati Library.                                                          View images from this file (173)                                    ","EAP341/1/245","173 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_245/1.jp2/full/!600,300/0/default.jpg"
"246","Paradhinera mukti [1328 [B. S.] 1921]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 17 cm. Author: Nisikanta Ganguli. Publisher: Calcutta : Saraswati Library.                                                          View images from this file (103)                                    ","EAP341/1/246","103 Tiff images","Book","File","Bengali","Bengali","1921","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_246/1.jp2/full/!600,300/0/default.jpg"
"247","Amadera svaraja [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 17 cm. Author: Mohandasa Karamcanda Gandhi. Publisher: Calcutta : Surendra Kishor Acharjee.                                                          View images from this file (103)                                    ","EAP341/1/247","103 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_247/1.jp2/full/!600,300/0/default.jpg"
"248","Mahatma Gandhira baktritabali [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 16 cm. Publisher: S. l. : s. n.                                                          View images from this file (121)                                    ","EAP341/1/248","121 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_248/1.jp2/full/!600,300/0/default.jpg"
"249","Bilate bharatera dabi [1339 [B. S.] 1932]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten, hard binding. The original volume with length of 17 cm. Author: Hemendralala Raya (tr.). Publisher: Calcutta : Hemprabha Dasgupta.                                                          View images from this file (173)                                    ","EAP341/1/249","173 Tiff images","Book","File","Bengali","Bengali","1932","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_249/1.jp2/full/!600,300/0/default.jpg"
"250","Cattagrama bidrohera kahini [1948]","        This book deals with the subject: History. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Anandaprasada Gupta. Publisher: Calcutta : Purabi Publishers.                                                          View images from this file (283)                                    ","EAP341/1/250","283 Tiff images","Book","File","Bengali","Bengali","1948","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_250/1.jp2/full/!600,300/0/default.jpg"
"251","Bamlaya biplabbada [1330 [B. S.] 1923]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Nalinikisora Guha. Publisher: Calcutta : Nalinikisore Guha.                                                          View images from this file (181)                                    ","EAP341/1/251","181 Tiff images","Book","File","Bengali","Bengali","1923","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_251/1.jp2/full/!600,300/0/default.jpg"
"252","Bamlaya biplabbada [1336 [B. S.] 1929]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Nalinikisora Guha. Publisher: Calcutta : Arya Sahitya Bhaban.                                                          View images from this file (282)                                    ","EAP341/1/252","282 Tiff images","Book","File","Bengali","Bengali","1929","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_252/1.jp2/full/!600,300/0/default.jpg"
"253","Biplabera pathe [1333 [B. S.] 1926]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Nalinikisora Guha. Publisher: Calcutta : Calcutta Publishers.                                                          View images from this file (127)                                    ","EAP341/1/253","127 Tiff images","Book","File","Bengali","Bengali","1926","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_253/1.jp2/full/!600,300/0/default.jpg"
"254","Svaraj sadhanaya bangali [n. d.]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Nagendrakumara Guharaya. Publisher: Calcutta : Saraswati Library.                                                          View images from this file (223)                                    ","EAP341/1/254","223 Tiff images","Book","File","Bengali","Bengali","1841-1971","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_254/1.jp2/full/!600,300/0/default.jpg"
"255","Agniyuga (vol- I) [1355 [B. S.] 1948]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Barindranatha Ghosha. Publisher: Calcutta : Book Corporation Ltd...                                                          View images from this file (215)                                    ","EAP341/1/255","215 Tiff images","Book","File","Bengali","Bengali","1948","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_255/1.jp2/full/!600,300/0/default.jpg"
"256","Bidrohi Ireland [1335 [B. S.] 1928]","        This book deals with the subject: Culture and Society. Page number error. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Narendranarayana Cakrabartti. Publisher: Calcutta : Barman Publishing House.                                                          View images from this file (307)                                    ","EAP341/1/256","307 Tiff images","Book","File","Bengali","Bengali","1928","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_256/1.jp2/full/!600,300/0/default.jpg"
"257","Kalera bheri [1338 [B. S.] 1931]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Bijaylala Cattopadhyaya. Publisher: Calcutta : Nabbasahitya Bhaban.                                                          View images from this file (127)                                    ","EAP341/1/257","127 Tiff images","Book","File","Bengali","Bengali","1931","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_257/1.jp2/full/!600,300/0/default.jpg"
"258","Paradhinatara abhisapa [1338 [B. S.] 1931]","        This book deals with the subject: Culture and Society. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Dayananda Coudhuri. Publisher: Calcutta : Bandemataram Sahitya Bhaban.                                                          View images from this file (179)                                    ","EAP341/1/258","179 Tiff images","Book","File","Bengali","Bengali","1931","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_258/1.jp2/full/!600,300/0/default.jpg"
"259","Satyagraha o panjab kahini [1328 [B. S.] 1921]","        This book deals with the subject: Culture and Society. Page number error. Original material: 1 book. Brittle, worm eaten. The original volume with length of 18 cm. Author: Ullaskara Datta. Publisher: Calcutta : Saraswati Library.                                                          View images from this file (139)                                    ","EAP341/1/259","139 Tiff images","Book","File","Bengali","Bengali","1921","Access is for research purposes only.","https://images.eap.bl.uk/EAP341/EAP341_1_259/1.jp2/full/!600,300/0/default.jpg"
