"","final.image.url","image.name"
"101","https://images.eap.bl.uk/EAP727/EAP727_1_9/7.jp2/info.json","EAP727_1_9/7"
"102","https://images.eap.bl.uk/EAP727/EAP727_1_9/8.jp2/info.json","EAP727_1_9/8"
"103","https://images.eap.bl.uk/EAP727/EAP727_1_10/1.jp2/info.json","EAP727_1_10/1"
"104","https://images.eap.bl.uk/EAP727/EAP727_1_10/2.jp2/info.json","EAP727_1_10/2"
"105","https://images.eap.bl.uk/EAP727/EAP727_1_10/3.jp2/info.json","EAP727_1_10/3"
"106","https://images.eap.bl.uk/EAP727/EAP727_1_10/4.jp2/info.json","EAP727_1_10/4"
"107","https://images.eap.bl.uk/EAP727/EAP727_1_10/5.jp2/info.json","EAP727_1_10/5"
"108","https://images.eap.bl.uk/EAP727/EAP727_1_10/6.jp2/info.json","EAP727_1_10/6"
"109","https://images.eap.bl.uk/EAP727/EAP727_1_11/1.jp2/info.json","EAP727_1_11/1"
"110","https://images.eap.bl.uk/EAP727/EAP727_1_11/2.jp2/info.json","EAP727_1_11/2"
"111","https://images.eap.bl.uk/EAP727/EAP727_1_11/3.jp2/info.json","EAP727_1_11/3"
"112","https://images.eap.bl.uk/EAP727/EAP727_1_11/4.jp2/info.json","EAP727_1_11/4"
"113","https://images.eap.bl.uk/EAP727/EAP727_1_11/5.jp2/info.json","EAP727_1_11/5"
"114","https://images.eap.bl.uk/EAP727/EAP727_1_11/6.jp2/info.json","EAP727_1_11/6"
"115","https://images.eap.bl.uk/EAP727/EAP727_1_11/7.jp2/info.json","EAP727_1_11/7"
"116","https://images.eap.bl.uk/EAP727/EAP727_1_11/8.jp2/info.json","EAP727_1_11/8"
"117","https://images.eap.bl.uk/EAP727/EAP727_1_12/1.jp2/info.json","EAP727_1_12/1"
"118","https://images.eap.bl.uk/EAP727/EAP727_1_12/2.jp2/info.json","EAP727_1_12/2"
"119","https://images.eap.bl.uk/EAP727/EAP727_1_12/3.jp2/info.json","EAP727_1_12/3"
"120","https://images.eap.bl.uk/EAP727/EAP727_1_12/4.jp2/info.json","EAP727_1_12/4"
"121","https://images.eap.bl.uk/EAP727/EAP727_1_12/5.jp2/info.json","EAP727_1_12/5"
"122","https://images.eap.bl.uk/EAP727/EAP727_1_12/6.jp2/info.json","EAP727_1_12/6"
"123","https://images.eap.bl.uk/EAP727/EAP727_1_12/7.jp2/info.json","EAP727_1_12/7"
"124","https://images.eap.bl.uk/EAP727/EAP727_1_12/8.jp2/info.json","EAP727_1_12/8"
"125","https://images.eap.bl.uk/EAP727/EAP727_1_12/9.jp2/info.json","EAP727_1_12/9"
"126","https://images.eap.bl.uk/EAP727/EAP727_1_12/10.jp2/info.json","EAP727_1_12/10"
"127","https://images.eap.bl.uk/EAP727/EAP727_1_13/1.jp2/info.json","EAP727_1_13/1"
"128","https://images.eap.bl.uk/EAP727/EAP727_1_13/2.jp2/info.json","EAP727_1_13/2"
"129","https://images.eap.bl.uk/EAP727/EAP727_1_13/3.jp2/info.json","EAP727_1_13/3"
"130","https://images.eap.bl.uk/EAP727/EAP727_1_13/4.jp2/info.json","EAP727_1_13/4"
"131","https://images.eap.bl.uk/EAP727/EAP727_1_13/5.jp2/info.json","EAP727_1_13/5"
"132","https://images.eap.bl.uk/EAP727/EAP727_1_14/1.jp2/info.json","EAP727_1_14/1"
"133","https://images.eap.bl.uk/EAP727/EAP727_1_14/2.jp2/info.json","EAP727_1_14/2"
"134","https://images.eap.bl.uk/EAP727/EAP727_1_14/3.jp2/info.json","EAP727_1_14/3"
"135","https://images.eap.bl.uk/EAP727/EAP727_1_14/4.jp2/info.json","EAP727_1_14/4"
"136","https://images.eap.bl.uk/EAP727/EAP727_1_14/5.jp2/info.json","EAP727_1_14/5"
"137","https://images.eap.bl.uk/EAP727/EAP727_1_14/6.jp2/info.json","EAP727_1_14/6"
"138","https://images.eap.bl.uk/EAP727/EAP727_1_14/7.jp2/info.json","EAP727_1_14/7"
"139","https://images.eap.bl.uk/EAP727/EAP727_1_14/8.jp2/info.json","EAP727_1_14/8"
"140","https://images.eap.bl.uk/EAP727/EAP727_1_14/9.jp2/info.json","EAP727_1_14/9"
"141","https://images.eap.bl.uk/EAP727/EAP727_1_14/10.jp2/info.json","EAP727_1_14/10"
"142","https://images.eap.bl.uk/EAP727/EAP727_1_14/11.jp2/info.json","EAP727_1_14/11"
"143","https://images.eap.bl.uk/EAP727/EAP727_1_14/12.jp2/info.json","EAP727_1_14/12"
"144","https://images.eap.bl.uk/EAP727/EAP727_1_14/13.jp2/info.json","EAP727_1_14/13"
"145","https://images.eap.bl.uk/EAP727/EAP727_1_14/14.jp2/info.json","EAP727_1_14/14"
"146","https://images.eap.bl.uk/EAP727/EAP727_1_15/1.jp2/info.json","EAP727_1_15/1"
"147","https://images.eap.bl.uk/EAP727/EAP727_1_15/2.jp2/info.json","EAP727_1_15/2"
"148","https://images.eap.bl.uk/EAP727/EAP727_1_15/3.jp2/info.json","EAP727_1_15/3"
"149","https://images.eap.bl.uk/EAP727/EAP727_1_15/4.jp2/info.json","EAP727_1_15/4"
"150","https://images.eap.bl.uk/EAP727/EAP727_1_15/5.jp2/info.json","EAP727_1_15/5"
"151","https://images.eap.bl.uk/EAP727/EAP727_1_15/6.jp2/info.json","EAP727_1_15/6"
"152","https://images.eap.bl.uk/EAP727/EAP727_1_17/1.jp2/info.json","EAP727_1_17/1"
"153","https://images.eap.bl.uk/EAP727/EAP727_1_17/2.jp2/info.json","EAP727_1_17/2"
"154","https://images.eap.bl.uk/EAP727/EAP727_1_17/3.jp2/info.json","EAP727_1_17/3"
"155","https://images.eap.bl.uk/EAP727/EAP727_1_17/4.jp2/info.json","EAP727_1_17/4"
"156","https://images.eap.bl.uk/EAP727/EAP727_1_18/1.jp2/info.json","EAP727_1_18/1"
"157","https://images.eap.bl.uk/EAP727/EAP727_1_18/2.jp2/info.json","EAP727_1_18/2"
"158","https://images.eap.bl.uk/EAP727/EAP727_1_18/3.jp2/info.json","EAP727_1_18/3"
"159","https://images.eap.bl.uk/EAP727/EAP727_1_18/4.jp2/info.json","EAP727_1_18/4"
"160","https://images.eap.bl.uk/EAP727/EAP727_1_18/5.jp2/info.json","EAP727_1_18/5"
"161","https://images.eap.bl.uk/EAP727/EAP727_1_18/6.jp2/info.json","EAP727_1_18/6"
"162","https://images.eap.bl.uk/EAP727/EAP727_1_18/7.jp2/info.json","EAP727_1_18/7"
"163","https://images.eap.bl.uk/EAP727/EAP727_1_18/8.jp2/info.json","EAP727_1_18/8"
"164","https://images.eap.bl.uk/EAP727/EAP727_1_18/9.jp2/info.json","EAP727_1_18/9"
"165","https://images.eap.bl.uk/EAP727/EAP727_1_18/10.jp2/info.json","EAP727_1_18/10"
"166","https://images.eap.bl.uk/EAP727/EAP727_1_18/11.jp2/info.json","EAP727_1_18/11"
"167","https://images.eap.bl.uk/EAP727/EAP727_1_18/12.jp2/info.json","EAP727_1_18/12"
"168","https://images.eap.bl.uk/EAP727/EAP727_1_19/1.jp2/info.json","EAP727_1_19/1"
"169","https://images.eap.bl.uk/EAP727/EAP727_1_19/2.jp2/info.json","EAP727_1_19/2"
"170","https://images.eap.bl.uk/EAP727/EAP727_1_19/3.jp2/info.json","EAP727_1_19/3"
"171","https://images.eap.bl.uk/EAP727/EAP727_1_19/4.jp2/info.json","EAP727_1_19/4"
"172","https://images.eap.bl.uk/EAP727/EAP727_1_19/5.jp2/info.json","EAP727_1_19/5"
"173","https://images.eap.bl.uk/EAP727/EAP727_1_19/6.jp2/info.json","EAP727_1_19/6"
"174","https://images.eap.bl.uk/EAP727/EAP727_1_19/7.jp2/info.json","EAP727_1_19/7"
"175","https://images.eap.bl.uk/EAP727/EAP727_1_19/8.jp2/info.json","EAP727_1_19/8"
