"","Image URL","Image Name"
"82","https://images.eap.bl.uk/EAP460/EAP460_1_2/7.jp2/info.json","EAP460_1_2/7"
"83","https://images.eap.bl.uk/EAP460/EAP460_1_2/8.jp2/info.json","EAP460_1_2/8"
"84","https://images.eap.bl.uk/EAP460/EAP460_1_2/9.jp2/info.json","EAP460_1_2/9"
"85","https://images.eap.bl.uk/EAP460/EAP460_1_2/10.jp2/info.json","EAP460_1_2/10"
"86","https://images.eap.bl.uk/EAP460/EAP460_1_2/11.jp2/info.json","EAP460_1_2/11"
"87","https://images.eap.bl.uk/EAP460/EAP460_1_2/12.jp2/info.json","EAP460_1_2/12"
"88","https://images.eap.bl.uk/EAP460/EAP460_1_2/13.jp2/info.json","EAP460_1_2/13"
"89","https://images.eap.bl.uk/EAP460/EAP460_1_2/14.jp2/info.json","EAP460_1_2/14"
"90","https://images.eap.bl.uk/EAP460/EAP460_1_2/15.jp2/info.json","EAP460_1_2/15"
"91","https://images.eap.bl.uk/EAP460/EAP460_1_2/16.jp2/info.json","EAP460_1_2/16"
"92","https://images.eap.bl.uk/EAP460/EAP460_1_2/17.jp2/info.json","EAP460_1_2/17"
"93","https://images.eap.bl.uk/EAP460/EAP460_1_2/18.jp2/info.json","EAP460_1_2/18"
"94","https://images.eap.bl.uk/EAP460/EAP460_1_2/19.jp2/info.json","EAP460_1_2/19"
"95","https://images.eap.bl.uk/EAP460/EAP460_1_2/20.jp2/info.json","EAP460_1_2/20"
"96","https://images.eap.bl.uk/EAP460/EAP460_1_2/21.jp2/info.json","EAP460_1_2/21"
"97","https://images.eap.bl.uk/EAP460/EAP460_1_2/22.jp2/info.json","EAP460_1_2/22"
"98","https://images.eap.bl.uk/EAP460/EAP460_1_2/23.jp2/info.json","EAP460_1_2/23"
"99","https://images.eap.bl.uk/EAP460/EAP460_1_2/24.jp2/info.json","EAP460_1_2/24"
"100","https://images.eap.bl.uk/EAP460/EAP460_1_2/25.jp2/info.json","EAP460_1_2/25"
"101","https://images.eap.bl.uk/EAP460/EAP460_1_2/26.jp2/info.json","EAP460_1_2/26"
"102","https://images.eap.bl.uk/EAP460/EAP460_1_2/27.jp2/info.json","EAP460_1_2/27"
"103","https://images.eap.bl.uk/EAP460/EAP460_1_2/28.jp2/info.json","EAP460_1_2/28"
"104","https://images.eap.bl.uk/EAP460/EAP460_1_2/29.jp2/info.json","EAP460_1_2/29"
"105","https://images.eap.bl.uk/EAP460/EAP460_1_2/30.jp2/info.json","EAP460_1_2/30"
