"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"4392","Anna [15 Sep 1985]","

        

                  
            
              
              View images from this file (8)
            
          
              ","EAP372/6/23/9/306","8 TIFF images","Periodical","File","Tamil","Tamil","15 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_306/1.jp2/full/!600,300/0/default.jpg"
"4393","Anna [16 Sep 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/9/307","6 TIFF images","Periodical","File","Tamil","Tamil","16 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_307/1.jp2/full/!600,300/0/default.jpg"
"4394","Anna [17 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/308","4 TIFF images","Periodical","File","Tamil","Tamil","17 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_308/1.jp2/full/!600,300/0/default.jpg"
"4395","Anna [18 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/309","4 TIFF images","Periodical","File","Tamil","Tamil","18 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_309/1.jp2/full/!600,300/0/default.jpg"
"4396","Anna [20 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/310","4 TIFF images","Periodical","File","Tamil","Tamil","20 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_310/1.jp2/full/!600,300/0/default.jpg"
"4397","Anna [21 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/311","4 TIFF images","Periodical","File","Tamil","Tamil","21 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_311/1.jp2/full/!600,300/0/default.jpg"
"4398","Anna [22 Sep 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/9/312","6 TIFF images","Periodical","File","Tamil","Tamil","22 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_312/1.jp2/full/!600,300/0/default.jpg"
"4399","Anna [23 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/313","4 TIFF images","Periodical","File","Tamil","Tamil","23 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_313/1.jp2/full/!600,300/0/default.jpg"
"4400","Anna [24 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/314","4 TIFF images","Periodical","File","Tamil","Tamil","24 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_314/1.jp2/full/!600,300/0/default.jpg"
"4401","Anna [25 Sep 1985]","

        

                  
            
              
              View images from this file (8)
            
          
              ","EAP372/6/23/9/315","8 TIFF images","Periodical","File","Tamil","Tamil","25 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_315/1.jp2/full/!600,300/0/default.jpg"
