"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"916","Candra Prabhāpurāṇaṁ","

        Literature. 1 Printed Book. Original reference number: K91.

                  
            
              
              View images from this file (252)
            
          
              ","EAP673/2/36","252 TIFF images","File","Kannada","Kannada","1903","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_36/1.jp2/full/!600,300/0/default.jpg"
"917","Yaśōdhara Caritre","

        Literature. 1 Printed Book. Original reference number: K96.

                  
            
              
              View images from this file (86)
            
          
              ","EAP673/2/37","86 TIFF images","File","Kannada","Kannada","1911","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_37/1.jp2/full/!600,300/0/default.jpg"
"918","Akrūra Caritre","

        Literature. 1 Printed Book. Original reference number: K97.

                  
            
              
              View images from this file (166)
            
          
              ","EAP673/2/38","166 TIFF images","File","Kannada","Kannada","1923","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_38/1.jp2/full/!600,300/0/default.jpg"
"919","Paruśurāma Rāmāyaṇa","

        Literature. 1 Printed Book. Original reference number: K101.

                  
            
              
              View images from this file (178)
            
          
              ","EAP673/2/39","178 TIFF images","File","Kannada","Kannada","1849","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_39/1.jp2/full/!600,300/0/default.jpg"
"920","Hitavacana Saṅgraha","

        Literature. 1 Printed Book. Original reference number: K105.

                  
            
              
              View images from this file (24)
            
          
              ","EAP673/2/40","24 TIFF images","File","Kannada","Kannada","1891","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_40/1.jp2/full/!600,300/0/default.jpg"
"921","Karnāṭaka Śabdhasāraṁ","

        Literature. 1 Printed Book. Original reference number: K106.

                  
            
              
              View images from this file (43)
            
          
              ","EAP673/2/41","44 TIFF images","File","Kannada","Kannada","1892","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_41/1.jp2/full/!600,300/0/default.jpg"
"922","Udayādi Tyālaṅkāraṁ","

        Literature. 1 Printed Book. Original reference number: K108.

                  
            
              
              View images from this file (28)
            
          
              ","EAP673/2/42","28 TIFF images","File","Kannada","Kannada","1894","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_42/1.jp2/full/!600,300/0/default.jpg"
"923","Ajita Tīrthaṅkara Purāṇa Tilakaṁ","

        Literature. 1 Printed Book. Original reference number: K109.

                  
            
              
              View images from this file (232)
            
          
              ","EAP673/2/43","232 TIFF images","File","Kannada","Kannada","1910","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_43/1.jp2/full/!600,300/0/default.jpg"
"924","Kannaḍa Vacana Kādambari","

        Literature. 1 Printed Book. Original reference number: K110.

                  
            
              
              View images from this file (104)
            
          
              ","EAP673/2/44","104 TIFF images","File","Kannada","Kannada","1901","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_44/1.jp2/full/!600,300/0/default.jpg"
"925","Girijākalyāṇa","

        Literature. 1 Printed Book. Original reference number: K112.

                  
            
              
              View images from this file (250)
            
          
              ","EAP673/2/45","250 TIFF images","File","Kannada","Kannada","1905","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_45/1.jp2/full/!600,300/0/default.jpg"
"926","Kavyāsāraṁ","

        Literature. 1 Printed Book. Original reference number: K115.

                  
            
              
              View images from this file (250)
            
          
              ","EAP673/2/46","250 TIFF images","File","Kannada","Kannada","1898","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_46/1.jp2/full/!600,300/0/default.jpg"
"927","Caturāsya Nighaṇṭu","

        Literature. 1 Printed Book. Original reference number: K116.

                  
            
              
              View images from this file (38)
            
          
              ","EAP673/2/47","38 TIFF images","File","Kannada","Kannada","1893","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_47/1.jp2/full/!600,300/0/default.jpg"
"928","Karnāṭaka Nighaṇṭu","

        Literature. 1 Printed Book. Original reference number: K117.

                  
            
              
              View images from this file (32)
            
          
              ","EAP673/2/48","32 TIFF images","File","Kannada","Kannada","1893","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_48/1.jp2/full/!600,300/0/default.jpg"
"929","Jagannātha Vijayaṁ","

        Literature. 1 Printed Book. Original reference number: K118.

                  
            
              
              View images from this file (488)
            
          
              ","EAP673/2/49","488 TIFF images","File","Kannada","Kannada","1904","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_49/1.jp2/full/!600,300/0/default.jpg"
"930","Karnāṭaka Kavicarite Dvītī Sampuṭa","

        Literature. 1 Printed Book. Original reference number: K120.

                  
            
              
              View images from this file (678)
            
          
              ","EAP673/2/50","678 TIFF images","File","Kannada","Kannada","1919","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_2_50/1.jp2/full/!600,300/0/default.jpg"
