"","Page Title","Description","Reference","Extent","Content Type","Level","Creation date","Legal","ImgSrc"
"67","""A collection of images about working people, auto vehicle drivers, herdsmen, service people as well as law enforcement personnel [1930s-1950s]""","        A collection of images about working people, auto vehicle drivers, herdsmen, service people as well as law enforcement personnel.                                                          View images from this file (157)                                    ","EAP264/1/8/14","157 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_14/1.jp2/full/!600,300/0/default.jpg"
"68","""Copies of printed materials, posters, propaganda leaflets, graduation photos, sculpture and book covers talking about people and their deeds [1930s-1950s]""","        Copies of printed materials, posters, propaganda leaflets, graduation photos, sculpture and book covers talking about people and their deeds.                                                          View images from this file (59)                                    ","EAP264/1/8/15","59 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_15/1.jp2/full/!600,300/0/default.jpg"
"69","Images of funerals as well as of punishment methods used in olden days [1920s-1940s]","        Images of funerals as well as of punishment methods used in olden days.                                                          View images from this file (56)                                    ","EAP264/1/8/16","56 TIFF images","Photograph","File","1920s-1940s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_16/1.jp2/full/!600,300/0/default.jpg"
"70","""Images of researchers, explorers, scientists and related servicemen [1930s-1950s]""","        Images of researchers, explorers, scientists and related servicemen.                                                          View images from this file (84)                                    ","EAP264/1/8/17","84 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_17/1.jp2/full/!600,300/0/default.jpg"
"71","Images of different clothes worn by ethnic Mongolians and of some existing ethnic people in Mongolia [1930s-1950s]","        Images of different clothes worn by ethnic Mongolians and of some existing ethnic people in Mongolia.                                                          View images from this file (58)                                    ","EAP264/1/8/18","58 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_8_18/1.jp2/full/!600,300/0/default.jpg"
"72","Images of monasteries (most of them destroyed in 1930s) named A through D [1930s]","        Images of monasteries (most of them destroyed in 1930s) named A through D.                                                          View images from this file (190)                                    ","EAP264/1/9/1","190 TIFF images","Photograph","File","1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_9_1/1.jp2/full/!600,300/0/default.jpg"
"73","Images of monasteries named E through J [1930s]","        Images of monasteries named E through J.                                                          View images from this file (115)                                    ","EAP264/1/9/2","115 TIFF images","Photograph","File","1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_9_2/1.jp2/full/!600,300/0/default.jpg"
"74","Images of Buddha figures found in monasteries as well as of paintings and applique works depicting Buddha [1930s]","        Images of Buddha figures found in monasteries as well as of paintings and applique works depicting Buddha.                                                          View images from this file (149)                                    ","EAP264/1/9/3","149 TIFF images","Photograph","File","1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_9_3/1.jp2/full/!600,300/0/default.jpg"
"75","Images of Manzushir monastery located in Tuv province close to Ulaanbaatar [1930s]","        Images of Manzushir monastery located in Tuv province close to Ulaanbaatar. It is believed that the last religious Tsam dance was performed in that monastery in mid 1930s before the monastery was completely torn down.                                                          View images from this file (89)                                    ","EAP264/1/9/4","89 TIFF images","Photograph","File","1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_9_4/1.jp2/full/!600,300/0/default.jpg"
"76","Images of monasteries named M through Z [1930s]","        Images of monasteries named M through Z. Most of these monasteries were leveled to the ground in 1930s as a result of the anti-religious campaign launched by communists backed by Soviets.                                                          View images from this file (128)                                    ","EAP264/1/9/5","128 TIFF images","Photograph","File","1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_9_5/1.jp2/full/!600,300/0/default.jpg"
