"","Page Title","Description","Reference","Extent","Content type","Level","Languages","Creation date","Legal","ImgSrc"
"51","Studio Portrait Negatives Box 15 [1953-1960]","        This file contains 16 Studio portraits from box 15 of the Vasen Studio archive.                                                          View images from this file (16)                                    ","EAP737/4/4/15","16 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_15/1.jp2/full/!600,300/0/default.jpg"
"52","Studio Portrait Negatives Box 16 [1951-1960]","        This file contains 08 Studio portraits from box 16 of the Vasen Studio archive.                                                          View images from this file (8)                                    ","EAP737/4/4/16","8 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_16/1.jp2/full/!600,300/0/default.jpg"
"53","Studio Portrait Negatives Box 17 [1952-1960]","        This file contains 09 Studio portraits from box 17 of the Vasen Studio archive.                                                          View images from this file (9)                                    ","EAP737/4/4/17","9 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_17/1.jp2/full/!600,300/0/default.jpg"
"54","Studio Portrait Negatives Box 18 [1952-1959]","        This file contains 07 Studio portraits from box 18 of the Vasen Studio archive.                                                          View images from this file (7)                                    ","EAP737/4/4/18","7 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_18/2.jp2/full/!600,300/0/default.jpg"
"55","Studio Portrait Negatives Box 19 [1951-1966]","        This file contains 16 Studio portraits from box 19 of the Vasen Studio archive.                                                          View images from this file (16)                                    ","EAP737/4/4/19","16 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_19/1.jp2/full/!600,300/0/default.jpg"
"56","Studio Portrait Negatives Box 20 [1952-1963]","        This file contains 10 Studio portraits from box 20 of the Vasen Studio archive.                                                          View images from this file (10)                                    ","EAP737/4/4/20","10 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_20/1.jp2/full/!600,300/0/default.jpg"
"57","Studio Portrait Negatives Box 21 [1952-1961]","        This file contains 17 studio portraits from box 21 of the Vasen Studio archive. All are glass plate negatives.                                                          View images from this file (17)                                    ","EAP737/4/4/21","17 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_21/1.jp2/full/!600,300/0/default.jpg"
"58","Studio Portrait Negatives Box 22 [1952-1962]","        This file contains 16 studio portraits from box 22 of the Vasen studio archive; All are glass plate negatives.                                                          View images from this file (16)                                    ","EAP737/4/4/22","16 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_22/1.jp2/full/!600,300/0/default.jpg"
"59","Studio Portrait Negatives Box 23 [1952-1970]","        This file contains 12 studio portraits from box 23 of the archive of Vasen Studio.                                                          View images from this file (12)                                    ","EAP737/4/4/23","12 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_23/1.jp2/full/!600,300/0/default.jpg"
"60","Studio Portrait Negatives Box 24 [1952-1961]","        This file contains 15 studio portraits from box 24 of the Vasen Sudio archive. All are glass plate negatives.                                                          View images from this file (15)                                    ","EAP737/4/4/24","15 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_24/1.jp2/full/!600,300/0/default.jpg"
